[2024-12-12T17:20:15.809642+09:00] front.WARNING [b70d0639] [2548918] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:22:33.257678+09:00] front.INFO [b70d0639] [97b10ba] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:22:33.263649+09:00] front.WARNING [b70d0639] [97b10ba] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:31:11.671502+09:00] front.INFO [b70d0639] [8045078] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:31:11.679924+09:00] front.WARNING [b70d0639] [8045078] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:38:49.631670+09:00] front.INFO [b70d0639] [201657b] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:38:49.639877+09:00] front.WARNING [b70d0639] [201657b] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:41:41.276572+09:00] front.INFO [b70d0639] [06a0383] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:41:41.284347+09:00] front.WARNING [b70d0639] [06a0383] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:44:29.034760+09:00] front.INFO [b70d0639] [4d5aa8d] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
